epoch,loss,accuracy,val_loss,val_accuracy,sparse_categorical_crossentropy
1,3.356439733505249,0.09625,3.1088412602742515,0.10069445,2.5277216
2,3.127404727935791,0.12,3.1204133563571506,0.10069445,2.3966656
3,3.080596580505371,0.12625,3.1056970490349665,0.098958336,2.413127
4,3.01797212600708,0.1125,2.911997636159261,0.10069445,2.3935921
5,2.943165454864502,0.1025,3.012064046329922,0.10243055,2.3526533
6,2.906305742263794,0.1275,2.9642043113708496,0.10069445,2.3440592
7,2.8275461483001707,0.12875,2.7055277029673257,0.18055555,2.286603
8,2.775264902114868,0.14375,2.6780128479003906,0.1875,2.2563198
9,2.633601942062378,0.20375,3.1607627868652344,0.105902776,2.1361005
10,2.89867733001709,0.09875,2.787270850605435,0.10243055,2.4164906
11,2.7749461936950683,0.11125,2.754923860232035,0.10069445,2.31178
12,2.743746757507324,0.10125,2.7297456529405384,0.098958336,2.3046656
13,2.718871488571167,0.12,2.7082046270370483,0.098958336,2.3022463
14,2.698190221786499,0.1025,2.689857761065165,0.10243055,2.3024144
15,2.680612049102783,0.07625,2.6694235271877713,0.098958336,2.3042595
16,2.6609551334381103,0.09625,2.651699940363566,0.098958336,2.3028529
17,2.6440979766845705,0.095,2.63494610786438,0.098958336,2.3032148
18,2.6275558185577395,0.07875,2.619212203555637,0.098958336,2.3028946
19,2.6121521282196043,0.09625,2.6043143272399902,0.10243055,2.3028154
20,2.5977049922943114,0.105,2.5902503728866577,0.10243055,2.302813
21,2.58396484375,0.09125,2.5769478215111628,0.098958336,2.3027837
22,2.5710834884643554,0.0975,2.5643206569883557,0.098958336,2.3028998
23,2.5588961696624755,0.095,2.5523242950439453,0.098958336,2.303012
24,2.5471977043151854,0.0875,2.54102090994517,0.098958336,2.3029618
25,2.535923261642456,0.09125,2.530281490749783,0.098958336,2.3027315
26,2.5255265712738035,0.08375,2.5200899177127414,0.097222224,2.3028128
27,2.51548602104187,0.105,2.5104004939397178,0.097222224,2.30272
28,2.5061187839508055,0.10375,2.502965225113763,0.10243055,2.3028007
29,2.497888011932373,0.09625,2.5038929515414767,0.10069445,2.3035135
30,2.49301739692688,0.095,2.4845166206359863,0.097222224,2.3070319
31,2.4805422687530516,0.1075,2.476692875226339,0.097222224,2.302425
32,2.473334455490112,0.095,2.469130860434638,0.097222224,2.3029428
33,2.4657792949676516,0.095,2.4619365665647717,0.097222224,2.302791
34,2.459184799194336,0.08375,2.4550112883249917,0.097222224,2.3032405
35,2.452131509780884,0.09,2.448453903198242,0.097222224,2.3028975
36,2.445835132598877,0.085,2.4422264099121094,0.10069445,2.302997
37,2.4393935680389403,0.10125,2.436333033773634,0.098958336,2.3026361
38,2.4334814167022705,0.0975,2.430738581551446,0.09375,2.302518
39,2.427926959991455,0.095,2.4253364271587796,0.10069445,2.3025084
40,2.422534704208374,0.1025,2.4202040168974133,0.10069445,2.3024077
41,2.41695164680481,0.1075,2.423357301288181,0.09375,2.301872
42,2.4162391567230226,0.08625,2.410601350996229,0.10069445,2.3059156
43,2.408800973892212,0.08,2.4148466984430947,0.10243055,2.3028758
44,2.4080086517333985,0.10125,2.403415653440687,0.098958336,2.306359
45,2.4001273632049562,0.09625,2.3972025182512073,0.09375,2.3025575
46,2.3945205402374268,0.11375,2.419309933980306,0.097222224,2.3007133
47,2.4280575942993163,0.09625,2.6073802709579468,0.09375,2.3353155
48,2.489510145187378,0.0975,2.478607561853197,0.10069445,2.3783739
49,2.4898062801361083,0.10125,2.4331366221110025,0.097222224,2.369583
50,2.443735342025757,0.0975,2.4228414032194348,0.10069445,2.3218272
51,2.421728324890137,0.09375,2.41413950920105,0.10243055,2.3054154
52,2.41735800743103,0.1125,2.4502071274651422,0.10069445,2.308037
53,2.445614185333252,0.10875,2.4379082785712347,0.10069445,2.3229468
54,2.43316011428833,0.1225,2.4263558387756348,0.09375,2.3060997
55,2.42077600479126,0.09625,2.415987875726488,0.09375,2.3027732
56,2.412035150527954,0.0925,2.407949752277798,0.10243055,2.3027225
57,2.404934482574463,0.0925,2.4010810719596014,0.10243055,2.303026
58,2.3984004497528075,0.10125,2.3950604332817926,0.10243055,2.3028898
59,2.3926301860809325,0.09875,2.3897387848960028,0.10243055,2.3027744
60,2.387389841079712,0.095,2.384939365916782,0.10243055,2.302612
61,2.3829487228393553,0.08875,2.3805887169308133,0.09375,2.3027816
62,2.378934783935547,0.10125,2.3765651252534656,0.09375,2.3029876
63,2.3746768856048583,0.09125,2.372818907101949,0.09375,2.3026161
64,2.371260757446289,0.09,2.3693412012524075,0.097222224,2.3027983
65,2.367742881774902,0.09,2.3661246167288885,0.10243055,2.3026257
66,2.364730758666992,0.11125,2.363114343749152,0.10243055,2.3027334
67,2.361845817565918,0.1025,2.3602644867367215,0.10243055,2.302767
68,2.359338445663452,0.08375,2.3576031393475003,0.098958336,2.3029969
69,2.356543416976929,0.0875,2.355113082461887,0.10069445,2.3027744
