epoch,loss,accuracy,val_loss,val_accuracy,sparse_categorical_crossentropy
1,3.04717887878418,0.0875,2.950556847784254,0.10069445,2.374502
2,2.9098552894592284,0.0975,2.8625965383317737,0.10243055,2.3168626
3,2.830500183105469,0.1075,2.795185234811571,0.10069445,2.3118768
4,2.7668271541595457,0.09875,2.736124727461073,0.10069445,2.3094559
5,2.7132334423065188,0.11375,2.684735827975803,0.10069445,2.306806
6,2.666319532394409,0.11625,2.6427663034862943,0.09548611,2.3030567
7,2.627761869430542,0.10875,2.6047565937042236,0.098958336,2.3010437
8,2.5893553066253663,0.10375,2.5861059294806585,0.125,2.292653
9,2.5793409633636473,0.1075,2.5459633933173285,0.105902776,2.3067257
10,2.5129957485198973,0.12125,2.507408036126031,0.14930555,2.262366
11,2.439479560852051,0.13625,2.496170851919386,0.15625,2.2048616
12,2.4850775051116942,0.15875,2.5462354554070368,0.119791664,2.2640417
13,2.436602382659912,0.1525,2.380485110812717,0.16840278,2.2294998
14,2.375847520828247,0.16375,2.3089495764838324,0.2013889,2.1826363
15,2.41914514541626,0.14,2.384139802720812,0.14756945,2.2383554
16,2.394797420501709,0.1325,2.3330121172799005,0.16319445,2.2246206
17,2.3735610580444337,0.14,2.4076668288972645,0.12326389,2.2134788
18,2.363819398880005,0.17,2.317110644446479,0.18402778,2.2130935
19,2.3287392807006837,0.16625,2.28146845764584,0.19270833,2.187017
20,2.257503185272217,0.18375,2.3178193304273815,0.14756945,2.1235466
21,2.326111831665039,0.15125,2.26092619366116,0.16840278,2.1994262
22,2.3291470909118654,0.145,2.266770084698995,0.19097222,2.2082758
23,2.313345413208008,0.15125,2.2502746052212186,0.171875,2.1959636
24,2.417931604385376,0.1175,2.389386852582296,0.097222224,2.3041713
25,2.3403156757354737,0.1325,2.256334993574354,0.1545139,2.23141
26,2.2754374885559083,0.16,2.2045416699515448,0.18402778,2.1706488
27,2.278737678527832,0.1725,2.2395305103725858,0.18402778,2.1776252
28,2.2608150005340577,0.15875,2.269832412401835,0.1857639,2.1611016
29,2.3051248836517333,0.165,2.220283309618632,0.16840278,2.2056646
30,2.2572994327545164,0.17625,2.187149922053019,0.17708333,2.158216
31,2.23844633102417,0.20125,2.172538591755761,0.1875,2.1443012
32,2.277505407333374,0.1725,2.326885633998447,0.12847222,2.1881285
33,2.2809274578094483,0.15,2.200019015206231,0.17708333,2.1936529
34,2.238276882171631,0.17375,2.2475272681978016,0.17534722,2.1533113
35,2.223135442733765,0.19,2.324878798590766,0.14409722,2.1414928
36,2.2070734310150146,0.18375,2.2151183949576483,0.1875,2.127417
37,2.1836474704742432,0.21,2.1405889656808643,0.2048611,2.1063046
